VALLU_PISTENRO;VALLU_NIMI;DIGISTOPTUNNISTE;X_KOORD;Y_KOORD;KUNTAKOODI
9945;NIINILAHTI;90348;3439662;6981294;931
61607;KOLKANLAHTI TH;90767;3407491;6960306;729
2858;MUHOLA;91570;3404296;7023161;256
9911;HUOPANA;91746;3428132;6995302;931
19068;TOULAT TH;91799;3450492;7008196;931
2008;MATARA;92016;3403198;6873077;182
9288;KANGASHÄKKI;92510;3428058;6936881;892
7081;PYLKÖNMÄKI;92678;3387765;6953494;729
81990;LEPPÄVESI TH;92731;3441219;6914465;410
4090;RUTO;93645;3242003;6998888;399
16426;METSÄLÄ;93666;3214547;6897944;287
87775;VASSORFJÄRDEN, 8 JA 725 TEIDEN RISTEYS;93790;3247810;7015826;499
64488;KAITSOR;93803;3263114;7025365;946
9389;ORAVAISTEN TEHDAS;93814;3269254;7031893;946
64576;VENTUS;93893;3309550;7086956;272
2557;VIIPERI;94018;3325376;7059660;236
19050;YLISTARO VALTATIE 18;94304;3272147;6989376;743
10182;YLISTARORASTH;94309;3273430;6987650;743
9169;HAKOJÄRVI;94395;3341521;6948373;010
65291;KÄLVIÄ VALTATIE 28;94638;3325993;7090021;272
65545;NEVERBACKA;94905;3350879;7061012;272
10336;VIRTAINTIE(ALASTAIPALE);95250;3342537;6930068;989
4412;PERÄKYLÄ (LEHTIMÄKI);95332;3344635;6973546;005
4413;RANTAKANGAS;95340;3344061;6979893;005
2511;UURO;95554;3241601;6913216;232
15754;YLIKYLÄ (KARIJOKI);95621;3228289;6924185;218
2372;KANKALO;95629;3232966;6924210;218
5866;NORRNÄS;95975;3203533;6954540;545
5865;KALAX;95997;3206220;6944235;545
6335;KALAKOSKI;96230;3299195;6935623;743
16;PERKIÖMÄKI;96858;3296661;7029263;233
16405;TUHKASAARI;96861;3299847;7028637;233
6490;BÄCKBY;96951;3307844;7064453;599
15114;JUTHAS TH;97005;3277181;7051541;893
4943;GERTRUDS;97050;3291929;7084901;440
9760;PATANA;97129;3344677;7028041;924
9767;SILLANPÄÄ;97179;3347027;7039288;924
7008;HIIDENNIEMI;97473;3438673;7051427;626
124438;VENETPALO TH;97552;3441164;7088904;317
2097;HATULANMÄKI;97786;3520083;7099612;205
116074;JORMUA;97843;3548958;7133873;205
6139;RYTIVAARA TH;97850;3550980;7136189;578
68229;HEIKKISENJOKI;97871;3555463;7153370;697
123669;KUPARIVAARA;98087;3603633;7296981;305
68448;TORANKI KOULU;98109;3598347;7319274;305
111212;JUUMA TH;98150;3596664;7350536;305
121699;KORHOLANMÄKI;98274;3549069;7116037;765
68613;KAINUUN KESKUSSAIRAALA;98299;3535725;7124045;205
